id,name,salary_from,salary_to,salary_currency,experience,schedule,employment,description,requirements,responsibility,skills,published_at
122114188,Middle Data Scientist,,,,От 1 года до 3 лет,Удаленная работа,Полная занятость,"<p>Компания Актив Системс ищет специалиста уровня middle для доработки существующих ML моделей, построения рекомендательных систем и разработки инструментов валидации документов (OCR + NLP). </p> <p>Задачи:<br />- Доработка ML моделей: фичи, обучение, оптимизация<br />- Построение рекомендательных систем (товары, пользователи)<br />- Обработка и валидация текстов/сканов (OCR, NLP)</p> <p>Стек:<br />Python, pandas, sklearn, transformers, OCR (Tesseract/Google Vision), LightFM, Git, SQL</p> <p> </p>",,,"['Python', 'Анализ данных', 'Scikit-learn', 'Deep Learning', 'SciPy', 'Английский язык']",2025-06-26T18:22:51+0300
122127101,Data Scientist,,,,От 3 до 6 лет,Полный день,Полная занятость,"<p><strong>О компании:</strong></p> <p><strong>TrustMe</strong> - это инновационный IT-стартап, который меняет рынок автоматизации документооборота в Казахстане и за его пределами. Мы разрабатываем передовые решения для безопасного и мгновенного подписания договоров через SMS, упрощая и ускоряя бизнес-процессы для компаний любого масштаба.</p> <p>В <strong>TrustMe</strong> мы ценим стремление к инновациям, быстрому внедрению новых технологий и командный дух, что помогает нам обеспечивать высококачественные и надежные решения для наших клиентов. Мы активно развиваемся и предоставляем уникальные возможности для профессионалов, готовых внести реальный вклад в рост компании.</p> <p><strong>Описание вакансии:</strong></p> <p><strong>Что предстоит делать:</strong></p> <ul> <li> <p>Структурирование и очистка больших наборов данных.</p> </li> <li> <p>Проведение общего и прикладного анализа для получения инсайтов.</p> </li> <li> <p>Оценка пригодности данных для конкретных задач, таких как прогнозирование продаж, автозаказы и другие.</p> </li> <li> <p>Подготовка дата‑сетей, фич и метрик для обучения моделей ML/AI.</p> </li> <li> <p>Участие в процессе обучения и валидации моделей (опыт обучения моделей будет вашим преимуществом).</p> </li> </ul> <p><strong>О тебе:</strong></p> <ul> <li> <p>Практический опыт в <strong>Data Science/ML</strong>: очистка, анализ, подготовка данных (2-3 года).</p> </li> <li> <p>Умение смотреть на данные сквозь призму бизнес‑задач.</p> </li> <li> <p>Опыт работы с <strong>ML-моделями</strong> — в плюс.</p> </li> <li> <p>Самоорганизованность, умение планировать задачи и укладываться в сроки.</p> </li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li> <p>Конкурентную зарплату по рынку и потенциальные бонусы.</p> </li> <li> <p>Гибкий формат работы: офис в Астане или удалёнка.</p> </li> <li> <p>Быстрое принятие решений, реальный вклад в рост продукта.</p> </li> <li> <p>Уникальный опыт работы с <strong>ML-моделями</strong> для прогнозирования продаж и обслуживания клиентов.</p> </li> </ul>",,,"['SQL', 'Алгоритмы и структуры данных', 'Визуализация данных', 'Машинное обучение']",2025-06-27T08:17:22+0300
122111627,Data Scientist (персонализация),,,,От 1 года до 3 лет,Удаленная работа,Полная занятость,"<p>В Газпромбанке нами движет страсть к инновациям и стремление сделать передовые технологии доступными для всех. Наша платформа машинного обучения переосмысливает подход компаний к искусственному интеллекту, и мы рады, что находимся в авангарде этой области в России.</p> <p>Будучи членом нашей команды, вы получите возможность работать с экспертами отрасли и вносить свой вклад в новаторские проекты, которые формируют будущее технологий. Независимо от того, являетесь ли вы опытным специалистом или находитесь в начале карьерного пути, мы предлагаем динамичную и благоприятную среду, которая поощряет творчество, сотрудничество и рост.</p> <p>Присоединяйтесь к нам в нашей миссии по созданию лучшего мира с помощью искусственного интеллекта. Вместе мы сможем раскрыть весь потенциал этой преобразующей технологии и создать решения, которые принесут пользу людям во всем мире.</p> <p><strong>Что нужно делать:</strong></p> <p>Применение методов машинного обучения и оптимизации для решения задач Стрима CVM:<br />- повышение проникновения банковских продуктов на клиента через кросс-продажи,<br />- сегментация и кластеризация клиентской базы для поиска бизнес-потенциала,<br />- оценка life-time доходности клиента (cLTV),<br />- оптимизация утилизации рекламного бюджета на привлечение и коммуникацию в платных каналах,<br />- формирование персонализированных предложений для вовлечения пользователей в активное пользование продуктам Банк</p> <p><br /><strong>Что мы ждем от кандидата:</strong></p> <p>-опыт построения CRM моделей / рисковых моделей (банки, телеком, розница, онлайн проекты, финтех или консалтинг)</p> <p>- уверенное знание статистики, мат анализа, теории вероятностей, линейной алгебры</p> <p>- глубокое понимание ML алгоритмов (линейная регрессия, бустинг, кластеризация и т.д.)</p> <p>- уверенные знания SQL, Python</p> <p>- способность работать в Agile команде</p> <p><strong>Мы предлагаем:</strong></p> <p>• Конкурентную заработную плату: оклад + премии.<br />• Стимулирующие выплаты: к отпуску, по случаю рождения ребенка, вступления в брак, а также в сложных жизненных ситуациях.<br />• Хороший соцпакет (ДМС с первого месяца работы, льготы и скидки на фитнес, авиабилеты и др).<br />• Отпуск 33 дня.<br />• Дистанционную работу на территории <em>РФ</em><br />• Отличный коллектив, высокий уровень компетенции коллег, постоянный обмен опытом.<br />• Возможность обучения за счет компании, участие во внутренних митапах и внешних конференциях.</p>",,,[],2025-06-26T17:16:32+0300
122057754,Data scientist (ML/LLM),,,,От 1 года до 3 лет,Полный день,Полная занятость,"<p>Департамент управления корпоративными данными в поисках Data scientist в команду разработки на собственные проекты по развитию корпоративного хранилища данных, а также проекты по внедрению ИИ-сервисов в бизнес-процессы</p> <p><strong>Ключевые задачи:</strong></p> <ul> <li>Разработка, сопровождение и участие во вводе в эксплуатацию:</li> </ul> <ol> <li>скоринговых моделей вероятности дефолта, участвующих в принятии решений на основе анкетных, транзакционных данных, данных кредитной истории</li> <li>моделей на временных рядах, участвующих в предиктивной аналитике спроса/активности</li> <li>моделей рейтинга клиента на основе клиентских, транзакционных данных, данных из внешнего мира</li> <li>моделей речевой аналитики, speech-to-text, LLM</li> </ol> <ul> <li>A/B - тестирование</li> <li>Мониторинг качества моделей</li> </ul> <p><strong>Мы ожидаем от кандидатов:</strong></p> <ul> <li>Высшее образование</li> <li>Уровень владения английским - B1</li> <li>Уверенный пользователь PyCharm/VSCode, Linux, JupyterLab</li> <li>Знание и понимание основных методов машинного обучения</li> <li>Знания по терверу и мат. статистике и умение применять их на практике</li> <li>Python, jupyter notebook, pandas, numpy, sklearn, scipy, statsmodels, pytorch</li> <li>Базовые знания http-протокола</li> <li>Обучаемость, внимательность, стрессоустойчивость, находчивость</li> </ul> <p><strong>Вы получите:</strong></p> <ul> <li>Трудоустройство на контрактной основе</li> <li>Возможность работать с интересными и сложными проектами</li> <li>Возможность обучения и профессионального развития</li> <li>Конкурентоспособную заработную плату и привлекательный социальный пакет (страховка через полгода работы, материальная помощь к отпуску, бонус в конце года)</li> </ul> <p>*Вакансия, планируемая к созданию (перспективная)</p>",,,"['Python', 'pandas', 'Numpy', 'SciPy', 'LLM', 'Классическое машинное обучение']",2025-06-28T14:30:30+0300
122040605,Junior Data Scientist / ML-инженер,,80000.0,RUR,От 1 года до 3 лет,Полный день,Полная занятость,"<p>Приглашаем в команду Data Scientist / ML-инженер.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка моделей прогнозирования продаж с использованием машинного обучения (временные ряды, градиентный бустинг, глубокое обучение и др.).</li> <li>Исследование и подготовка признаков (feature engineering) на основе бизнес-данных: продажи, маркетинг, сезонность, акции, запасы и пр</li> <li>Обработка и анализ больших объемов данных (data wrangling, очистка, агрегации).</li> <li>Валидация моделей, метрики (MAE, RMSE, MAPE и др.), кросс-валидация.</li> <li>Разработка ML-пайплайнов: обучение, тестирование, развертывание.</li> <li>Взаимодействие с Data Engineer’ами и Backend-разработчиками по интеграции моделей в production.</li> <li>Участие в экспериментировании, A/B тестах, настройке мониторинга качества моделей.</li> </ul> <p><strong>Требования:</strong></p> <p>Навыки моделирования и анализа:</p> <ul> <li>Уверенное владение <strong>Python</strong> и библиотеками: <strong>pandas, NumPy, scikit-learn, XGBoost, LightGBM, CatBoost</strong>.</li> <li>Опыт работы с <strong>временными рядами</strong> (Prophet, ARIMA, SARIMA, LSTM, DeepAR и пр.).</li> <li>Умение подбирать, обучать и интерпретировать модели.</li> <li>Понимание метрик качества прогнозов и бизнес-интерпретации ошибок.</li> <li>Опыт feature engineering в задачах прогнозирования или регрессии.</li> </ul> <p>Работа с данными:</p> <ul> <li>Уверенное владение <strong>SQL</strong>.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Работа с стабильно развивающейся компании;</li> <li>График 5/2 с 09.00 до 18.00 формат: полностью удаленная работа;</li> <li>Оформление по договору ГПХ;</li> <li>Возможности карьерного роста.</li> </ul>",,,['1С программирование'],2025-06-28T10:34:01+0300
121943379,Senior Data Scientist / Дата-сайентист,5000.0,7000.0,USD,Более 6 лет,Удаленная работа,Полная занятость,"<div> <div> <div> <p>Do you have broad hands-on experience with applying regression, (boosted) trees, ensemble learning and time series-based Machine Learning in a business context?</p> <p>The Data &amp; Analytics team designs, builds, and maintains a set of solutions that are critical to our business.</p> <p>These solutions comprise for example, weather-driven models, electricity price, supply and demand forecasting models and apply them to trading in the European Power Exchange markets.</p> <p>We are a fast-growing team that works with a modern cloud stack, such as Google GCP Kubernetes, Terraform, Grafana, and adopts a dynamic fast learning environment.</p> <p>Data scientists themselves work daily with software engineers, product owners and business stakeholders.</p> <p><em><strong>Your challenges:</strong></em></p> <p>- You are responsible for developing new models for electricity supply and demand dynamics in different European countries to translate data into business decisions</p> <p>- You will maintain and improve the performance of the existing models and introduce innovative ideas for ML model developments and model pipeline management of predictive algorithms.</p> <p>- You will co-develop and execute roadmap for data analytics solutions.</p> <p>- You will partner with senior software engineers and business market analysts to contribute to large scale strategic projects as well as ongoing operational activities.</p> <p>- You will develop and monitor several model performances and be owner of some of the models’ KPIs</p> <p><strong><em>Why you will love it:</em></strong></p> <p>-You will be part of team and culture, that continuously grows and improves itself, fosters knowledge sharing and promotes excellence in the way the company delivers its product to customers.</p> <p>- Be part of a company dedicated to renewable energy with a wider mission to help in successful transition to green energy.</p> <p>- You will have a big impact on the bottom line of the company through the results of your machine learning models</p> <p>- You will work with state-of-the-art technologies, and you will influence the choice of new tools &amp; technologies.</p> <p>- You will deal with a diverse set and growing set of data (commercial data, customer data, market data and product data).</p> <p>- You go beyond prototyping and ship your code to production and have an impact in profitability from different European markets and at a later stage from the US market.</p> <p><em><strong>You will be successful in this position if you:</strong></em></p> <p>- Have a passion for solving data related challenges.</p> <p>- Have expertise in stochastic optimization techniques for decision-making under uncertainty, with applications in dynamic systems such as energy markets and trading strategies.</p> <p>- Have at least 15 years of working experience and understanding of predictive modelling of structured data, like regression, time series analysis and forecasting, ensemble learning, XGB statistics and machine learning.</p> <p>- Have a passion to learn about how the power exchange market functions</p> <p>- Have a Masters or PhD in field where statistical understanding of data is central (e.g. Mathematics, Econometrics, Statistical physics, or equivalent).</p> <p>- Have Cloud computing and platforms experience.</p> <p>- Are a proven communicator with technical teams.</p> <p><strong>Ищем эксперта в области машинного обучения и анализа данных</strong></p> <p>У вас есть обширный практический опыт применения регрессии, (усиленных) деревьев, ансамблевого обучения и методов машинного обучения на основе временных рядов в бизнес-контексте?</p> <p>Команда Data &amp; Analytics разрабатывает, внедряет и поддерживает решения, критически важные для нашего бизнеса.</p> <p>Среди них — модели, зависящие от погодных условий, прогнозирование цен на электроэнергию, а также моделей спроса и предложения, применяемые для трейдинга на европейских энергетических биржах.</p> <p>Наша команда быстро растёт и работает с современным облачным стеком, таким как Google GCP, Kubernetes, Terraform, Grafana, в динамичной среде, ориентированной на быстрое обучение.</p> <p>Data Scientists ежедневно сотрудничают с инженерами-программистами, продакт-менеджерами и бизнес-экспертами.</p> <p>Ваши задачи:</p> <ul> <li> <p>Разработка новых моделей, отражающих динамику спроса и предложения электроэнергии в разных странах Европы, с целью превращения данных в бизнес-решения.</p> </li> <li> <p>Поддержка и улучшение существующих моделей, внедрение инноваций в области машинного обучения и управление пайплайнами предиктивных алгоритмов.</p> </li> <li> <p>Совместная разработка и реализация дорожной карты аналитических решений.</p> </li> <li> <p>Работа в связке с опытными программистами и рыночными аналитиками над стратегическими проектами и текущими задачами.</p> </li> <li> <p>Разработка и мониторинг моделей, ответственность за ключевые показатели (KPI) ряда моделей.</p> </li> </ul> <p>Почему вам понравится эта работа:</p> <ul> <li> <p>Вы станете частью команды и культуры, ориентированных на постоянный рост, обмен знаниями и стремление к совершенству.</p> </li> <li> <p>Работа в компании, посвящённой возобновляемым источникам энергии, с миссией содействовать переходу к зелёной энергетике.</p> </li> <li> <p>Ваши модели машинного обучения будут оказывать прямое влияние на финансовые результаты компании.</p> </li> <li> <p>Работа с передовыми технологиями и участие в выборе новых инструментов и решений.</p> </li> <li> <p>Работа с разнообразными и постоянно растущими наборами данных (коммерческими, клиентскими, рыночными и продуктовыми).</p> </li> <li> <p>Вы не ограничитесь прототипированием — ваш код будет внедрён в продакшн и повлияет на прибыльность как на европейских рынках, так и в будущем на рынке США.</p> </li> </ul> <p>Чтобы преуспеть на этой позиции, вы должны:</p> <ul> <li> <p>Страстно относиться к решению задач, связанных с данными.</p> </li> <li> <p>Иметь опыт в стохастической оптимизации для принятия решений в условиях неопределённости, особенно применительно к динамическим системам, таким как энергетические рынки и торговые стратегии.</p> </li> <li> <p>Обладать минимум 15-летним опытом в предиктивном моделировании структурированных данных: регрессия, анализ и прогнозирование временных рядов, ансамблевое обучение, статистика XGB и машинное обучение.</p> </li> <li> <p>Проявлять интерес к тому, как функционирует рынок электроэнергии.</p> </li> <li> <p>Иметь степень магистра или PhD в области с сильным статистическим уклоном (например, математика, эконометрика, статистическая физика или аналогичная область).</p> </li> <li> <p>Иметь опыт работы с облачными вычислениями и платформами.</p> </li> <li> <p>Уметь эффективно коммуницировать с техническими командами.</p> </li> </ul> </div> </div> </div>",,,"['XGBoost', 'PyTorch', 'Deep Learning', 'Python']",2025-06-29T12:12:12+0300
121152496,Data Scientist (ML),,,,Нет опыта,Полный день,Полная занятость,"<strong>Обязанности:</strong> <ul> <li>Разработка и обучение моделей машинного обучения (в том числе классификация, регрессия, кластеризация и др.)</li> <li>Работа с API LLM (OpenAI, Deepseek, другие) — построение пайплайнов обогащения данных, генерации ответов и автоматизации</li> <li>Подготовка, очистка и анализ данных (EDA)</li> <li>Участие в развитии внутренних продуктов, основанных на ML и LLM</li> <li>Тестирование и валидация моделей, мониторинг качества</li> <li>Ведение технической документации</li> </ul> <strong>Требования:</strong> <ul> <li>Уверенные знания Python и библиотек для анализа данных и ML: pandas, scikit-learn, numpy, matplotlib</li> <li>Понимание основ машинного обучения, жизненного цикла модели и основных алгоритмов</li> <li>Опыт работы с REST API, желательно — с OpenAI API или аналогами</li> <li>Навыки в работе с Jupyter / Google Colab</li> <li>Способность разбираться в новых инструментах, быстро учиться, самостоятельно углубляться в темы</li> <li>Аналитическое мышление, аккуратность в работе с данными</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Знание или опыт работы с LLM (prompt engineering, LangChain, RAG и пр.)</li> <li>Опыт участия в pet-проектах, хакатонах или Kaggle</li> <li>Навыки базового SQL</li> <li>Опыт верификации и оценки моделей</li> </ul> <strong>Условия:</strong> <ul> <li>Конкурентоспособная заработная плата, ежегодные бонусы;</li> <li>Официальное трудоустройство, оплачиваемые отпуска и больничные;</li> <li>Социальный пакет (фитнес, медицинское страхование, корпоративные мероприятия);</li> <li>Поддержка профессионального роста: обучение за счет компании.</li> </ul>",,,[],2025-06-29T08:53:53+0300
122076161,Data Scientist,,,,От 1 года до 3 лет,Полный день,Полная занятость,"<p>Halyk Банк – это мощная экосистема, где технологии сочетаются с ценностями.<br />Мы гордимся более чем 14 000 работниками, которые делают нас лучшим местом работы. Мы предоставляем услуги во всех сегментах финансового рынка: банковском, страховом, лизинговом и т.д.<br />Мы стремимся стать ведущим цифровым банком, внедряя инновации и предоставляя возможности для роста и развития.<br />Мы ищем талантливых специалистов, готовых развиваться вместе с нами!</p> <p><strong>Требования:</strong><br />• Высшее образование в области финансов, математики, ИТ или анализа данных.<br />• Опыт работы Data Analyst, Data Scientist, ML от 2 лет, желательно в направлениях бюджетирования, внутреннего контроля, комплаенс-контроля, риск-менеджмента, аудита банковской или финансовой организации.<br />• Владение SQL, Python, BI-инструментами (Qlik Sense), MS Excel, знание принципов работы с хранилищами и витринами данных.<br />• Умение работать с большими объемами данных, объяснять технические результаты бизнес-заказчику, аналитическое мышление, высокая внимательность, самостоятельность, инициативность.</p> <p><strong>Обязанности:</strong><br />• Комплексный анализ продуктов, операций и бизнес-процессов, выявление закономерностей и потенциальных рисков.<br />• Разработка и внедрение аналитических моделей для мониторинга и анализа прибыльности.<br />• Строить алгоритмы обнаружения аномалий и отклонений в бизнес-процессах, влияющих на прибыльность.<br />• Разрабатывать автоматизированные решения для поддержки контроля и мониторинга финансовых потоков.<br />• Визуализировать результаты анализа и представлять их в понятной форме для заинтересованных подразделений.<br />• Сотрудничать с ИТ, бизнес и учётными командами при анализе данных и внедрении решений.</p> <p><strong>Условия:</strong><br />•Заработная плата и бонусы: конкурентоспособная оплата труда благодаря системе грейдирования, премии ко Дню Независимости и годовой бонус.<br />•Социальный пакет: ДМС и страхование жизни, мобильная связь и скидки от партнеров.<br />•Отпуск и отдых: 26 дней отпуска с возможностью взять дополнительные дни при наступлении важных событий.<br />•Бонусы за рекомендации.<br />•Рабочие условия: льготные условия на паркинг, свободный стиль одежды (smart casual).<br />•Обучение и развитие: тренинги, вебинары и доступ к корпоративной библиотеке, четкая система карьерного роста.<br />•Корпоративная культура: открытая и дружеская рабочая атмосфера, спортивные турниры и активная корпоративная жизнь.<br />•Инициативы и проекты: возможность участия в социальных проектах, реализация идей в новых проектах группы «Halyk» с использованием современных digital-инструментов.<br />•Команда: творческая и поддерживающая команда для реализации ваших идей.<br />Присоединяйтесь к нам и становитесь частью команды «Halyk»!</p>",,,[],2025-06-26T07:31:50+0300
121544351,Специалист по науке о данных (Data scientist),,,,От 3 до 6 лет,Удаленная работа,Полная занятость,"<strong>Обязанности:</strong> <ul> <li>​​​​​​​Создание и развитие ML-алгоритмов и моделей ранжирования в поиске и рекомендательных системах для всех онлайн каналов компании</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы с обработкой текстов на естественном языке</li> <li>Опыт backend-разработки и вывода в продакшен data-продуктов будет плюсом</li> <li>Понимание концепции эмбедингов и векторных представлений (word2vec, fasttext, GloVe)</li> <li>Опыт работы с одним из фреймворков pytorch, tensorflow, theano, keras или другим</li> <li>Хорошее понимание математической статистики</li> <li>Понимание, как дизайнить и проводить АБ-тесты</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Работа в компании с развитой инженерной культурой</li> <li>Гибкая систему премирования</li> <li>Удаленный или гибридный формат работы (современный офис в 3 минутах от станции МЦК ЗИЛ)</li> <li>Расширенный социальный пакет: ДМС со стоматологией с первого месяца работы, психолог и страхование жизни, компенсация питания и оплата мобильной связи</li> <li>Возможности профессионального роста, программы развития для сотрудников, корпоративное обучение и доступ к базе знаний</li> <li>Внутренние профессиональные сообщества и мероприятия</li> <li>Автономность работы, возможность менять правила, ошибаться и создавать новое</li> </ul>",,,"['ML', 'Математическая статистика', 'Python']",2025-06-29T09:40:46+0300
121926247,TL Data Scientist,,459000.0,RUR,Более 6 лет,Полный день,Полная занятость,"<p><strong>Платформа ОФД </strong>— аккредитованная IT-компания, крупнейший в России оператор фискальных данных. Мы анализируем рынок российского ритейла, используя данные из миллиардов магазинных чеков</p> <p>На основе неструктурированных данных мы разрабатываем аналитические решения и инсайты, которые помогают бизнесу принимать обоснованные стратегические решения. Наши продукты используют производители товаров, крупные ритейлеры, финансовые организации и маркетинговые агентства</p> <p>Компания является резидентом инновационного центра «Сколково», что подтверждает наш технологический уровень и значимость внедряемых решений</p> <div><strong>Что у нас есть:</strong></div> <div> <ul> <li>Масштабные данные: каждый третий чек, пробиваемый в России, попадает к нам — 60 миллионов чеков ежедневно. В нашей базе содержится более 5 миллиардов SKU - огромные возможности для анализа и моделирования</li> <li>Современная инфраструктура: несколько кластеров Hadoop, выделенные мощные машины для Data Scientists, включая GPU-ускорители для ресурсоёмких задач обучения моделей</li> <li> <div>Профессиональная команда: 3 Data Science, аналитики и асессоры</div> </li> <li> <div>Официальное трудоустройство: работаем по Трудовому кодексу РФ. Заработная плата белая, своевременная и прозрачная</div> </li> <li> <div>ДМС, включая амбулаторную помощь, стоматологию, госпитализацию, скорую помощь и телемедицинские консультации</div> </li> <li> <div>Удобное расположение. Офис близко от м. Спортивная\МЦК Лужники</div> </li> <li> <div>Гибкое начало рабочего дня и гибридный формат — сочетание офиса и удалённой работы</div> </li> <li> <div>Комфорт в офисе: кухня, зона отдыха с тренажёром и массажным креслом, настольными играми, игровой приставкой и караоке</div> </li> <li> <div>Активная корпоративная культура<strong>.</strong> Мероприятия, командные активности за счет компании</div> </li> </ul> </div> <div><strong>Наш стек:</strong></div> <div>Jupyterhub/PyCharm, python, стандартный python стек (pandas, numpy, sklearn, matplolib), fastext, torch, BERT, HuggingFace, MlFlow</div> <div>Hadoop, Spark, Hive, PostgreSQL, ClickHouse, Zeppelin/IntelliJ, AirFlow, ElasticSearch, Apache Superset</div> <div>GitLab, k8s, Docker, Jira, Confluence</div> <div> </div> <div><strong>Твоя роль: Team Lead Data Science</strong></div> <p>Ты возглавишь команду специалистов по анализу данных и машинному обучению, которая создает инновационные решения для ритейла и производства. Твоя миссия — превратить огромный массив данных о покупках, клиентах и товарах в ценные бизнес-инсайты, продукты и сервисы, которые помогут компаниям стать более эффективными и клиентоориентированными.</p> <div><strong>Задачи:</strong></div> <div>- Работа с текстовыми данными (NLP):<br />Разрабатывать и оптимизировать модели для классификации чековых наименований товаров и торговых точек. Ты научишь систему распознавать категории товаров, бренды и ключевые атрибуты (например, масса, объем, цвет, вкус) из описаний в чеках, а также классифицировать торговые точки по типам бизнеса.</div> <div>- Автоматизация и обогащение данных:</div> <div>Создавать автоматизированные решения для выделения товарных характеристик, метчинга чековых наименований с эталонными SKU и интеграции внешних данных (например, погоды, событий, трендов). Это повысит точность моделей и их способность учитывать реальный контекст.</div> <div>- Прогнозирование спроса и продаж:<br />Строить модели, которые предсказывают будущие покупки на основе истории продаж, сезонности, погоды, событий и изменений рынка. Эти прогнозы помогут оптимизировать запасы, маркетинговые кампании и стратегии ценообразования.</div> <div>- Персонализация и рекомендации:<br />Разрабатывать AI-сервисы для персонализированного взаимодействия с покупателями. Ты будешь предлагать клиентам релевантные товары, промо-предложения и бонусы, основываясь на их поведении, предпочтениях и внешних данных. Это повысит лояльность и увеличит продажи.</div> <div>- Управление командой:<br />Руководить командой дата-сайентистов и младших аналитиков, помогая им решать сложные задачи, развивать навыки и достигать целей. Ты станешь ментором, организатором процессов и драйвером инноваций.</div> <p>- Инновации и внедрение лучших практик:<br />Быть в курсе последних трендов в области искусственного интеллекта и машинного обучения. Ты внедришь современные инструменты и подходы для решения задач классификации, обогащения данных, продуктовой аналитики и построения рекомендательных систем.</p> <p><strong>Как это работает на практике?</strong><br />Представь, что ты создаёшь экосистему, которая:<br />• Понимает покупателя: анализирует его историю покупок, предпочтения и поведение.<br />• Предлагает лучшие решения: Рекомендует товары, которые ему действительно нужны, или предлагает скидку на любимый бренд.<br />• Оптимизирует бизнес-процессы: Помогает ритейлерам и производителям лучше планировать закупки, управлять запасами и адаптироваться к изменениям рынка.<br />• Автоматизирует рутину: Освобождает время для команды за счет автоматизации задач по классификации, обработке данных и генерации инсайтов.</p> <div><strong>Почему это важно?</strong><br />Твоя работа напрямую влияет на успех бизнеса и удовлетворенность клиентов. Ты не просто решаешь технические задачи — ты создаешь продукты, которые делают жизнь людей удобнее и приятнее. Например:<br />• Клиент получает идеальное предложение на свой любимый товар<br />• Ритейлер увеличивает продажи благодаря точным прогнозам и персонализации<br />• Производитель узнает, какие продукты будут популярны в следующем сезоне</div> <div> </div> <div> </div> <div><strong>Качества, которые тебе пригодятся:</strong></div> <ul> <li> <div>Умение вдохновлять и направлять команду</div> </li> <li>Аналитический склад ума. Способность видеть связи между данными и бизнес-задачами</li> <li>Знание современных методов машинного обучения, NLP и работы с большими данными</li> <li>Желание создавать продукты, которые действительно нужны людям</li> </ul> <p> </p>",,,"['BigData', 'Hadoop', 'Machine Learning', 'Python', 'Data Science']",2025-06-29T08:56:23+0300
